nome_normalizado,ordem_pessoa,estado,diario,data_publicacao,ano,tipo_ato,nome,nome_original_csv,spacy_pessoa,spacy_entidades,cargo,orgao,caderno,fonte_url,arquivo_markdown,arquivo_csv,linha_csv,ato_anterior,data_anterior,cargo_anterior,orgao_anterior,dias_desde_anterior,retorno_apos_exoneracao,data_exoneracao_anterior,cargo_exoneracao_anterior,orgao_exoneracao_anterior,dias_desde_exoneracao,mudou_cargo_desde_exoneracao,mudou_orgao_desde_exoneracao,marco_governo,data_marco_governo,dias_desde_marco_governo
DANIELE LOPES PIRES FONTOURA,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-05-07,2024,nomeacao,DANIELE LOPES PIRES FONTOURA,DANIELE LOPES PIRES FONTOURA,sim,DANIELE LOPES:PER,para exercer o cargo em comissão de Assistente,da Superintendência de Gestão das Regionais Administrativas,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZWRmQwMUZSWGxQVlZsMFRVUlNRMUZUTURCU2FrVjVURlJvUTFKVVFYUk5NRWswVVZWWk1WRnFaRVZPYWxVMVRWUmpNMDU2VlhsTmFsVTBUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-05-07.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,5548,exoneracao,2024-05-07,do cargo em comissão de Coordenador,da Superintendência de Gestão das Regionais Administrativas,0,sim,2024-05-07,do cargo em comissão de Coordenador,da Superintendência de Gestão das Regionais Administrativas,0,sim,nao,,,
DANIELE LOPES PIRES FONTOURA,3,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-01-22,2025,exoneracao,DANIELE LOPES PIRES FONTOURA,DANIELE LOPES PIRES FONTOURA,sim,DANIELE LOPES:PER,do cargo em comissão de Assistente,da Superintendência de Gestão das Re- gionais Administrativas,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwb1JrOVVVVE5SZW1OMFVYcFJNazFwTURCU1JGcEZURlJzUkU1VlNYUlJla1Y0VVZWT1IwMXFSa0pTYWs1RlRWUmpNMDU2VlhoT2VrMTVUbEU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-22.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,8917,nomeacao,2024-05-07,para exercer o cargo em comissão de Assistente,da Superintendência de Gestão das Regionais Administrativas,260,nao,,,,,,,,,
DANIELE MARIA PEREIRA DE BRITO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-11-01,2024,nomeacao,DANIELE MARIA PEREIRA DE BRITO,DANIELE MARIA PEREIRA DE BRITO,sim,DANIELE MARIA PEREIRA DE BRITO:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwQ1JrOVZTa0pOYTBsMFVtdEpORkpwTURCUmFsWkdURlZHUTAxNlZYUk9hMWt6VFZSR1JVMUZXVFZPYWsxM1RWUmpNMDU2VlhoUFJHTTFUVkU5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-01.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,1162,,,,,,nao,,,,,,,,,
DANIELE MARTINS GONCALVES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-07-15,2025,nomeacao,DANIELE MARTINS GONÇALVES,DANIELE MARTINS GONÇALVES,sim,DANIELE MARTINS GONÇALVES:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wc1JWRlVZM2hTYW1kMFQxUnJlbEpUTURCT2FscEVURlZKTlUwd1NYUlNSRkY2VDBWRk1FNXFUa0pPVlUwd1RWUmpNMDU2VlhoT1ZFVTBUa0U5UFE9PQ==,LAKE\RJ\2025\07\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-07-15.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,4737,,,,,,nao,,,,,,,,,
DANIELE MATIAS HYPOLITO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-01-07,2025,exoneracao,DANIELE MATIAS HYPÓLITO,DANIELE MATIAS HYPÓLITO,sim,DANIELE MATIAS HYPÓLITO:MISC|Daniele Matias Hypólito:PER,do cargo em comissão de Assessor Especial,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwck0wNVVRa1ZSVlZGMFRqQlZNRTVwTURCUFJVMTNURlZLUjA1VVZYUk5WRWw2VVZSQmVVNXFhekpSYWxKR1RWUmpNMDU2VlhoUFJFbDZUWGM5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-07.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,9405,,,,,,nao,,,,,,,,,
DANIELE MENEZES DE CASTRO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-06-27,2024,nomeacao,DANIELE MENEZES DE CASTRO,DANIELE MENEZES DE CASTRO,sim,DANIELE MENEZES DE CASTRO:PER,para exercer o cargo em comissão de Ajudante I,da Superintendência do Programa RJ para Todos,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSQ1JVNXJXVEJSYWxGMFRWUlJlbEpETURCUFJVcEVURlZHUTFKRVFYUk9la0pDVVhwc1IwMXFZekZPUkZaSFRWUmpNMDU2VlhsTmFsRjZUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\06\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-06-27.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,4117,,,,,,nao,,,,,,,,,
DANIELE MENEZES DE CASTRO,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-11-24,2025,exoneracao,DANIELE MENEZES DE CASTRO,DANIELE MENEZES DE CASTRO,sim,DANIELE MENEZES DE CASTRO:PER,do cargo em comissão de Ajudante I,da Subsecretaria de Relações Governamentais,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSUmVrMXFTWHBPYWtGMFVXdE9SVkZUTURCU1ZWWkZURlZKZDFKRVRYUlJNRlY0VDFSWmVsRjZaM2RPYTFFMFRWUmpNMDU2VlhoTmVrMTRUVUU5UFE9PQ==,LAKE\RJ\2025\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-11-24.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,719,nomeacao,2024-06-27,para exercer o cargo em comissão de Ajudante I,da Superintendência do Programa RJ para Todos,515,nao,,,,,,,,,
DANIELE MENEZES DE CASTRO,3,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-01-26,2026,nomeacao,DANIELE MENEZES DE CASTRO,DANIELE MENEZES DE CASTRO,sim,DANIELE MENEZES DE CASTRO:PER,para exercer o cargo em comissão de Ajudante I,da Superintendência do Programa RJ Para Todos - Superj,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBWS1EwNUZXa2RSYW1kMFRWUlJNVkpUTURCTlZFSkVURlZHUmxKRlZYUk9SVXBDVG5wVk5FNVVSVFJQVlZsNVRWUmpNMDU2VlhoTmFrMTNUa0U5UFE9PQ==,LAKE\RJ\2026\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-01-26.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,3708,exoneracao,2025-11-24,do cargo em comissão de Ajudante I,da Subsecretaria de Relações Governamentais,63,sim,2025-11-24,do cargo em comissão de Ajudante I,da Subsecretaria de Relações Governamentais,63,sim,sim,,,
DANIELE OLIVEIRA COSTA DE ANDRADE,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-13,2025,nomeacao,DANIELE OLIVEIRA COSTA DE ANDRADE,DANIELE OLIVEIRA COSTA DE ANDRADE,sim,DANIELE OLIVEIRA COSTA DE ANDRADE:MISC|Daniele Oliveira Costa De Andrade:PER,para exercer o cargo em comissão de Assistente,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVSc1IxSnFWWGhSVkd0MFVrUkZORkZUTURCTmVsa3lURlZLUlUxRlRYUk9hazB5VFVWU1IxSnFUVEZPYTBWNFRWUmpNMDU2VlhoTmVtY3lUMEU5UFE9PQ==,LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-10-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,1963,,,,,,nao,,,,,,,,,
DANIELE RAIANE PEREIRA DE CARVALHO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-01-10,2024,exoneracao,DANIELE RAIANE PEREIRA DE CARVALHO,DANIELE RAIANE PEREIRA DE CARVALHO,sim,DANIELE RAIANE PEREIRA DE CARVALHO:MISC|Daniele Raiane Pereira De Carvalho:PER,do cargo em comissão de Assistente II,do Gabinete do Secretário,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwbmVsSkVUVFZQUkZsMFRXdEtSVTFwTURCTlZFWkNURlJzUlUxVlNYUk5SRXBFVFhwR1ExRXdTWGxSZW10M1RWUmpNMDU2VlRCT2FtTTBUa0U5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-01-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,8607,,,,,,nao,,,,,,,,,
DANIELE SALIM KHAYAT,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-03-25,2025,nomeacao,DANIELE SALIM KHAYAT,DANIELE SALIM KHAYAT,sim,DANIELE SALIM KHAYAT:MISC|Daniele Salim Khayat:PER,para exercer o cargo em comis- são de Assessor,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwck1FMVVTVFZPUkd0MFVtdGFSRkpwTURCU1JGSkVURlZHUjA5VVFYUk5NRVpEVGxWV1JGRlVRVEpOUlZaR1RWUmpNMDU2VlhoT2FsVTFUbWM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-25.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,7225,,,,,,nao,,,,,,,,,
DANIELE SALIM KHAYAT,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-02-12,2026,nomeacao,DANIELE SALIM KHAYAT,DANIELE SALIM KHAYAT,sim,DANIELE SALIM KHAYAT:MISC|Daniele Salim Khayat:PER,para exercer o cargo em comissão de Ajudante I,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVd0Tk1WRnFUVFZPUkVsMFRWUktSRkpUTURCUFZWSkZURlJyTkZKclVYUlJWVVY2VFVSTmQwNHdSa1ZOTUZFMVRWUmpNMDU2VlhoTlZHdDZUMEU5UFE9PQ==,LAKE\RJ\2026\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-02-12.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,3095,nomeacao,2025-03-25,para exercer o cargo em comis- são de Assessor,,324,nao,,,,,,,,,
DANIELE SANTOS VIEIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-05-21,2025,exoneracao,DANIELE SANTOS VIEIRA,DANIELE SANTOS VIEIRA,sim,DANIELE SANTOS:PER,do cargo em comissão de Assistente,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wbk1rNVVaM2hTUkZGMFVWVkpORTVETURCT1JFRjZURlJyZVUxNlVYUk9WVVpDVGtSTmQxRnFWa2RTYTFwR1RWUmpNMDU2VlhoT1ZHc3hUMEU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-21.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,5985,,,,,,nao,,,,,,,,,
DANIELE SANTOS VIEIRA,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-03-04,2026,nomeacao,DANIELE SANTOS VIEIRA,DANIELE SANTOS VIEIRA,sim,DANIELE SANTOS:PER,,do Instituto de Assistência Dos Servidores do Estado do Rio de Janeiro - IASERJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wT1IwMVVhRUpOUlVsMFVWUnNSazVUTURCUmFscEZURlZGTTA1RVozUlJWR1JGVWtWUk5GSlVhelJSVkZKRlRWUmpNMDU2VlhoTlJGRjZUVUU5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-04.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,2493,exoneracao,2025-05-21,do cargo em comissão de Assistente,,287,sim,2025-05-21,do cargo em comissão de Assistente,,287,nao,nao,,,
DANIELE SILVA BASTOS SANTOS,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-09-02,2024,nomeacao,DANIELE SILVA BASTOS SANTOS,DANIELE SILVA BASTOS SANTOS,sim,DANIELE SILVA BASTOS SANTOS:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSVmVrOUVXVEJOUlVsMFQxVktSVkpETURCUmVrMTNURlZLUmsxcVFYUlJhbWhDVDBSQ1FrOVVTa1ZTUkdNMFRWUmpNMDU2VlhsTmFrbDNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\09\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-09-02.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,2467,,,,,,nao,,,,,,,,,
DANIELE SILVA BASTOS SANTOS,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-09-06,2024,nomeacao,DANIELE SILVA BASTOS SANTOS,DANIELE SILVA BASTOS SANTOS,sim,DANIELE SILVA BASTOS SANTOS:PER,para exercer o cargo em comissão de Assistente,da Fundação Santa Cabrini - FSC,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSVk5GRlVXVFZQUkVGMFVUQk5lazU1TURCUmVrWkZURlJyTUU1VldYUk5lbWN3VDFSRmVFMXJTVFJQUkVFd1RWUmpNMDU2VlhsTmFrVTBUa0U5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\09\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-09-06.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,2291,nomeacao,2024-09-02,,,4,nao,,,,,,,,,
DANIELE SILVA DE OLIVEIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-02-20,2024,nomeacao,DANIELE SILVA DE OLIVEIRA,DANIELE SILVA DE OLIVEIRA,sim,DANIELE SILVA DE:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wS1FsSlZTWGRPYTFsMFRVUkNSbEpwTURCU1ZHeEZURlZHUWsxcVFYUk5hbFUxVFVSUk1sSnFhRVZOYTFrMVRWUmpNMDU2VlRCT2FsazFUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-02-20.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,7726,,,,,,nao,,,,,,,,,
DANIELE TORQUATO DA SILVA ROSA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-11-05,2024,nomeacao,DANIELE TORQUATO DA SILVA ROSA,DANIELE TORQUATO DA SILVA ROSA,sim,Daniele Torquato Da Silva Rosa:PER,,do Gabinete do Secretário,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwck1FMUVWWGxOUlVWMFVWUkJOVTFETURCTlJWSkVURlJuZVU1clJYUlBWRVUwVVhwSk0xRnFaRVZOUlUxNFRWUmpNMDU2VlhoUFJHTTBUV2M5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,990,,,,,,nao,,,,,,,,,
DANIELE VIEIRA DA SILVA OLIVEIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-12-05,2025,nomeacao,DANIELE VIEIRA DA SILVA OLIVEIRA,DANIELE VIEIRA DA SILVA OLIVEIRA,sim,DANIELE VIEIRA DA SILVA OLIVEIRA:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCRk1rMXFXa1ZPUkZWMFVtcFJNVkpETURCU1ZWRXhURlJvUkUxNlFYUlJhMVUxVFdwV1EwNVVUa1ZSYTAxM1RWUmpNMDU2VlhoTmVrRTFUbEU5UFE9PQ==,LAKE\RJ\2025\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-12-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,391,,,,,,nao,,,,,,,,,
DANIELLA DA SILVA MOREIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-01-31,2024,nomeacao,DANIELLA DA SILVA MOREIRA,DANIELLA DA SILVA MOREIRA,sim,SILVA MOREIRA:MISC|Daniella Da Silva Moreira:PER,,do Instituto Estadual do Ambiente - INEA,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSYVJrMHdUa0pQVlZsMFVUQkdSMUY1TURCT01FcERURlZKZDA1RlNYUk5WVlpHVGtWTk1VOVVUa2ROYWxaR1RWUmpNMDU2VlRCT2FtTjZUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-01-31.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,8149,,,,,,nao,,,,,,,,,
DANIELLA DA SILVA MOREIRA,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-05-22,2024,exoneracao,DANIELLA DA SILVA MOREIRA,DANIELLA DA SILVA MOREIRA,sim,SILVA MOREIRA:MISC|Daniella Da Silva Moreira:PER,do cargo em comissão de Assistente II,do Instituto Estadual do Ambiente - INEA,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSc1EwMXJUa05PVkdOMFVUQldSRTlETURCT1JHTjVURlZHUmxKclRYUk5ha3BDVVd0Uk1WRlZTVE5OTUZaSFRWUmpNMDU2VlhsTmFsVXdUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-05-22.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,5046,nomeacao,2024-01-31,,do Instituto Estadual do Ambiente - INEA,112,nao,,,,,,,,,
DANIELLA LEITE BESOUCHET,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-11-18,2025,nomeacao,DANIELLA LEITE BESOUCHET,DANIELLA LEITE BESOUCHET,sim,DANIELLA LEITE:MISC|Daniella Leite Besouchet:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSSk5WRlVaRVZSVlVWMFVrUk5OVkY1TURCUmVsWkZURlJyZVUxcldYUk5ha3BFVFhwak1VMVViRWRQUkZFMVRWUmpNMDU2VlhoTmVrMHdUbmM5UFE9PQ==,LAKE\RJ\2025\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-11-18.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,825,,,,,,nao,,,,,,,,,
DANIELLA PHILIPPSEN JUNQUEIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-04-02,2024,nomeacao,DANIELLA PHILIPPSEN JUNQUEIRA,DANIELLA PHILIPPSEN JUNQUEIRA,sim,PHILIPPSEN JUNQUEIRA:MISC|Daniella Philippsen Junqueira:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWxSUk5WRjZRWGhTYWxGMFVYcFZNbEZUTURCT01GRXlURlZKTTAxcVNYUlBWRlV5VVd0Tk1rMVZSa1JQVkVKSFRWUmpNMDU2VlRCT2FsVXlUa0U5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-04-02.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,6677,,,,,,nao,,,,,,,,,
DANIELLA PHILIPPSEN JUNQUEIRA,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-03-17,2025,exoneracao,DANIELLA PHILIPPSEN JUNQUEIRA,DANIELLA PHILIPPSEN JUNQUEIRA,sim,PHILIPPSEN JUNQUEIRA:MISC|Daniella Philippsen Junqueira:PER,do cargo em comissão de Assessor,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCSk1rMVZSa1ZOZWxWMFQwUm9SMDFETURCTlZFMHpURlZKZWs1VldYUlJWRUV6VW1wWk1rNVVZM2hTVkdSRlRWUmpNMDU2VlhoT2FtTjRUWGM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-17.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,7446,nomeacao,2024-04-02,,,349,nao,,,,,,,,,
DANIELLA PHILIPPSEN JUNQUEIRA,3,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-03-18,2025,nomeacao,DANIELLA PHILIPPSEN JUNQUEIRA,DANIELLA PHILIPPSEN JUNQUEIRA,sim,PHILIPPSEN JUNQUEIRA:MISC|Daniella Philippsen Junqueira:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wamVVOVVRVEZOVlVWMFRtcFpNRTFUTURCT2VrMHdURlZHUlZKVlNYUk5WRTVFVW1wc1FrMUVZM2RTUlZVeVRWUmpNMDU2VlhoT2FsazFUMEU5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-18.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,7384,exoneracao,2025-03-17,do cargo em comissão de Assessor,,1,sim,2025-03-17,do cargo em comissão de Assessor,,1,nao,nao,,,
DANIELLA PHILIPPSEN JUNQUEIRA,4,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-12-17,2025,exoneracao,DANIELLA PHILIPPSEN JUNQUEIRA,DANIELLA PHILIPPSEN JUNQUEIRA,sim,PHILIPPSEN JUNQUEIRA:MISC|Daniella Philippsen Junqueira:PER,do cargo em comissão de Ajudante I,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN_RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtSU1IwMUVhekJQUlZsMFRsVlJlRTFETURCUmFrazBURlZGZDFKRldYUlJha1Y1VGpCS1JrMUZXVEZPYWtwRFRWUmpNMDU2VlhoTmFtY3pUbEU5UFE9PQ==,LAKE\RJ\2025\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-12-17.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,136,nomeacao,2025-03-18,,,274,nao,,,,,,,,,
DANIELLE ALMEIDA DE CASTRO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-11-11,2024,nomeacao,DANIELLE ALMEIDA DE CASTRO,DANIELLE ALMEIDA DE CASTRO,sim,DANIELLE ALMEIDA DE CASTRO:MISC|Danielle Almeida De Castro:PER,,do Departamento de Trans￾portes Rodoviários do Estado do Rio de Janeiro - DETRO/RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwRk5WSnFTVFZQUkZWMFRWUlplRkpwTURCTmVrRjVURlZLUlZGNlRYUlJWVlV4VGpCSmVsRlVVa1pOZW1zd1RWUmpNMDU2VlhoUFJHTXlUV2M5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-11.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,806,,,,,,nao,,,,,,,,,
DANIELLE ALMEIDA DE CASTRO,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-07-29,2025,exoneracao,DANIELLE ALMEIDA DE CASTRO,DANIELLE ALMEIDA DE CASTRO,sim,DANIELLE ALMEIDA DE CASTRO:MISC|Danielle Almeida De Castro:PER,do cargo em comissão de Assessor,do Departamento de Transportes Rodoviários do Estado do Rio de Janeiro - DETRO/RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW10YVFrNXFSVEpOVkVWMFVtdE5lVkpETURCTmEwbDRURlJyTlU1NlFYUlNWR2hDVWtScmVVNVZXa1pQUlVaRVRWUmpNMDU2VlhoT1ZFRjZUa0U5UFE9PQ==,LAKE\RJ\2025\07\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-07-29.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,4467,nomeacao,2024-11-11,,do Departamento de Trans￾portes Rodoviários do Estado do Rio de Janeiro - DETRO/RJ,260,nao,,,,,,,,,
DANIELLE BORGES COELHO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-01-23,2026,nomeacao,DANIELLE BORGES COELHO,DANIELLE BORGES COELHO,sim,DANIELLE BORGES COELHO:MISC|Danielle Borges Coelho:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWxSYVJFNXJTVE5OUlVsMFRsUmpORTFwTURCUmVscEVURlJuTVU1NmEzUlNWR3N6VG1wbk1VMVZWa0pOVkdNMFRWUmpNMDU2VlhoTmFrMTRUV2M5UFE9PQ==,LAKE\RJ\2026\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-01-23.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,3740,,,,,,nao,,,,,,,,,
