nome_normalizado,nome_exemplo,total_atos,total_nomeacoes,total_exoneracoes,total_retornos_apos_exoneracao,primeira_data,ultima_data,cargos_distintos,orgaos_distintos,teve_nomeacao_e_exoneracao,teve_retorno_apos_exoneracao
CHARLES PEREIRA DA SILVA,CHARLES PEREIRA DA SILVA,2,1,1,0,2023-08-07,2024-03-15,1,1,sim,nao
CHARLES PEREIRA DA SILVA - TEN CEL PM,CHARLES PEREIRA DA SILVA - TEN CEL PM,1,0,1,0,2022-08-10,2022-08-10,1,0,nao,nao
CHARLES PHILLIP DE SAOUZA FERREIRA DA SILVA,CHARLES PHILLIP DE SAOUZA FERREIRA DA SILVA,1,0,1,0,2021-08-05,2021-08-05,1,1,nao,nao
CHARLES PRADO FERREIRA DE LIMA,CHARLES PRADO FERREIRA DE LIMA,2,1,1,0,2025-05-12,2025-10-09,2,1,sim,nao
CHARLIANE OLIVETTI THEODORO DA COSTA,CHARLIANE OLIVETTI THEODORO DA COSTA,2,1,1,1,2024-07-03,2024-07-03,1,1,sim,sim
CHARLIANE OLIVETTI THEODORO DA SILVA,CHARLIANE OLIVETTI THEODORO DA SILVA,2,1,1,1,2025-01-06,2025-01-06,2,1,sim,sim
CHARLLES BATISTA DA SILVA,CHARLLES BATISTA DA SILVA,5,3,2,3,2022-06-28,2026-04-14,3,0,sim,sim
CHARLLES BRUNO BOTELHO,CHARLLES BRUNO BOTELHO,1,1,0,0,2024-07-09,2024-07-09,1,1,nao,nao
CHARLLES DA FONSECA LUCAS,CHARLLES DA FONSECA LUCAS,1,1,0,0,2025-11-28,2025-11-28,0,1,nao,nao
CHARLYE CORREA DOS REIS,CHARLYE CORRÊA DOS REIS,7,3,4,3,2020-10-09,2026-03-03,5,3,sim,sim
CHEFIANDO AS ATIVIDADES DE OUVIDORIA DA SUDERJ,CHEFIANDO AS ATIVIDADES DE OUVIDORIA DA SUDERJ,1,1,0,0,2024-04-16,2024-04-16,0,0,nao,nao
CHEILA MAYARA PEREIRA DOS SANTOS,CHEILA MAYARA PEREIRA DOS SANTOS,3,1,2,1,2025-03-19,2025-06-05,2,1,sim,sim
CHEYENNE PEREIRA DE SOUZA MELO,CHEYENNE PEREIRA DE SOUZA MELO,1,0,1,0,2022-02-22,2022-02-22,1,1,nao,nao
CHISLAINE BARBOSA CHI,CHISLAINE BARBOSA CHI,3,1,2,1,2023-10-16,2024-06-27,3,1,sim,sim
CHRISLIANE DOS SANTOS PEREIRA SARAIVA,CHRISLIANE DOS SANTOS PEREIRA SARAIVA,5,3,2,1,2024-02-05,2025-06-05,4,1,sim,sim
CHRISTIAN GOMES DE FIGUEIREDO ARAUJO,CHRISTIAN GOMES DE FIGUEIREDO ARAUJO,1,1,0,0,2025-12-04,2025-12-04,0,1,nao,nao
CHRISTIAN MONTEIRO FERREIRA,CHRISTIAN MONTEIRO FERREIRA,5,2,3,2,2020-11-04,2024-10-29,3,2,sim,sim
CHRISTIAN SIMON,CHRISTIAN SIMON,3,2,1,0,2023-04-24,2026-03-18,2,1,sim,nao
CHRISTIAN TORTURELLA VIDAL,CHRISTIAN TORTURELLA VIDAL,2,1,1,0,2023-08-07,2025-07-10,1,1,sim,nao
CHRISTIANE DE SOUZA MAIA AGUIAR KOSCHNITZKI,CHRISTIANE DE SOUZA MAIA AGUIAR KOSCHNITZKI,7,4,3,3,2021-09-14,2025-03-24,2,2,sim,sim
CHRISTIANE NUNES REIS LEMOS,CHRISTIANE NUNES REIS LEMOS,2,1,1,0,2023-05-09,2024-01-17,2,2,sim,nao
CHRISTIANE ROSE MAIA AFONSO PEREIRA,CHRISTIANE ROSE MAIA AFONSO PEREIRA,3,1,2,0,2024-02-20,2026-04-30,2,0,sim,nao
CHRISTIANE SANTOS DA SILVEIRA,CHRISTIANE SANTOS DA SILVEIRA,2,1,1,0,2022-07-18,2023-04-19,2,1,sim,nao
CHRISTIANE ZIEHFUSS HESKETH MARCONDES,CHRISTIANE ZIEHFUSS HESKETH MARCONDES,4,2,2,2,2025-09-24,2025-11-25,2,1,sim,sim
CHRISTIANI COSTA CARDOSO,CHRISTIANI COSTA CARDOSO,1,0,1,0,2021-07-05,2021-07-05,1,0,nao,nao
CHRISTIANI COSTA CARDOSO DA SILVA,CHRISTIANI COSTA CARDOSO DA SILVA,1,1,0,0,2023-03-06,2023-03-06,0,0,nao,nao
CHRISTIANI FERNANDES DOS SANTOS,CHRISTIANI FERNANDES DOS SANTOS,1,0,1,0,2025-02-03,2025-02-03,1,1,nao,nao
CHRISTIANNE APARECIDA PEREIRA DOS SANTOS,CHRISTIANNE APARECIDA PEREIRA DOS SANTOS,1,1,0,0,2026-01-21,2026-01-21,0,0,nao,nao
CHRISTIANNE DOS SANTOS SILVA,CHRISTIANNE DOS SANTOS SILVA,1,1,0,0,2023-04-19,2023-04-19,1,1,nao,nao
CHRISTIANNE FONTES SANTIAGO BARROS,CHRISTIANNE FONTES SANTIAGO BARROS,3,1,2,1,2024-03-26,2026-04-20,3,1,sim,sim
CHRISTIANO ARLOVE COSTA DE FREITAS,CHRISTIANO ARLOVE COSTA DE FREITAS,1,0,1,0,2021-03-15,2021-03-15,1,1,nao,nao
CHRISTIANO BENTO LUIZ DE CARVALHO PEREIRA,CHRISTIANO BENTO LUIZ DE CARVALHO PEREIRA,2,1,1,0,2022-05-06,2022-11-07,2,0,sim,nao
CHRISTIANO DE OLIVEIRA PAES,CHRISTIANO DE OLIVEIRA PAES,1,1,0,0,2021-10-19,2021-10-19,1,1,nao,nao
CHRISTIANO FIGUEIREDO MACIEL,CHRISTIANO FIGUEIREDO MACIEL,1,1,0,0,2025-09-17,2025-09-17,1,1,nao,nao
CHRISTIANO NEVES DA SILVA,CHRISTIANO NEVES DA SILVA,5,2,3,1,2021-06-17,2023-12-22,5,3,sim,sim
CHRISTINA MATIAS MAGALHAES E SILVA ALCANTARA,CHRISTINA MATIAS MAGALHÃES E SILVA ALCANTARA,1,1,0,0,2022-08-09,2022-08-09,1,0,nao,nao
CHRISTINA NOVAES NOGUEIRA,CHRISTINA NOVAES NOGUEIRA,1,1,0,0,2024-05-13,2024-05-13,1,1,nao,nao
CHRISTINE COUTINHO AGUIAR DE ANDRADE,CHRISTINE COUTINHO AGUIAR DE ANDRADE,14,7,7,7,2023-03-01,2025-08-01,10,4,sim,sim
CHRISTINE DE PINHO MEIRELLES,CHRISTINE DE PINHO MEIRELLES,4,3,1,2,2021-02-18,2023-12-11,1,1,sim,sim
CHRISTOFFER FRANCA SERAFIM DO NASCIMENTO,CHRISTOFFER FRANÇA SERAFIM DO NASCIMENTO,1,0,1,0,2023-07-06,2023-07-06,1,0,nao,nao
CHRISTOPH CARVALHO BEZERRA LEITE,CHRISTOPH CARVALHO BEZERRA LEITE,2,1,1,1,2020-11-25,2020-11-25,1,1,sim,sim
CHRISTOPHER DA CRUZ CONCEICAO,CHRISTOPHER DA CRUZ CONCEIÇÃO,6,3,3,2,2021-09-15,2026-04-10,4,2,sim,sim
CHRISTOPHER DE SOUZA PONTES DA SILVA,CHRISTOPHER DE SOUZA PONTES DA SILVA,2,1,1,0,2024-05-02,2024-10-11,2,0,sim,nao
CHRISTOVAO MACHADO PERES,CHRISTOVÃO MACHADO PERES,2,1,1,0,2023-03-03,2025-03-28,2,1,sim,nao
CHRIZANTHO COSTA CORDEIRO,CHRIZANTHO COSTA CORDEIRO,1,1,0,0,2025-05-26,2025-05-26,1,1,nao,nao
CHRYSTIAN IVAN DE SOUSA BENEVIDES,CHRYSTIAN IVAN DE SOUSA BENEVIDES,1,1,0,0,2023-07-06,2023-07-06,0,1,nao,nao
CHRYSTIAN OLIVEIRA DE FARIA,CHRYSTIAN OLIVEIRA DE FARIA,2,1,1,0,2024-08-13,2025-09-11,2,1,sim,nao
CHRYSTIAN PICONE SOARES GOMES DA SILVA,CHRYSTIAN PICONE SOARES GOMES DA SILVA,2,1,1,0,2023-09-13,2025-10-06,1,1,sim,nao
CIANA DE LUIZE MOREIRA PIRES DO EGIDIO,CIANA DE LUIZE MOREIRA PIRES DO EGÍDIO,1,0,1,0,2020-12-08,2020-12-08,1,1,nao,nao
CIBELE CASTRO,CIBELE CASTRO,1,1,0,0,2023-06-05,2023-06-05,1,0,nao,nao
CIBELE LAPA DA SILVA PARANHOS,CIBELE LAPA DA SILVA PARANHOS,1,0,1,0,2020-12-04,2020-12-04,1,1,nao,nao
CICERA DELIANE MARCELINO DE JESUS,CICERA DELIANE MARCELINO DE JESUS,2,1,1,0,2024-09-13,2026-04-08,2,2,sim,nao
CICERO BATISTA DE ARAUJO,CICERO BATISTA DE ARAUJO,2,1,1,0,2023-08-15,2024-12-02,1,1,sim,nao
CICERO CARINO LACERDA,CÍCERO CARINO LACERDA,1,1,0,0,2022-05-20,2022-05-20,0,0,nao,nao
CICERO DA CONCEICAO BORGES,CÍCERO DA CONCEIÇÃO BORGES,2,1,1,0,2023-11-13,2025-05-14,1,0,sim,nao
CICERO DE CASTRO BRITO,CICERO DE CASTRO BRITO,2,1,1,0,2021-03-12,2022-04-08,2,2,sim,nao
CICERO FABIANO CERQUEIRA DE ARAUJO,CICERO FABIANO CERQUEIRA DE ARAÚJO,1,0,1,0,2020-12-02,2020-12-02,1,0,nao,nao
CICINIO CARDOSO MAIA,CICINIO CARDOSO MAIA,1,1,0,0,2023-09-15,2023-09-15,0,1,nao,nao
CID DO CARMO JUNIOR,CID DO CARMO JUNIOR,4,2,2,2,2021-11-10,2023-04-12,2,1,sim,sim
CID SANTANA DE MIRANDA,CID SANTANA DE MIRANDA,1,1,0,0,2021-07-07,2021-07-07,1,1,nao,nao
CID TAVARES VASCONCELOS,CID TAVARES VASCONCELOS,3,2,1,1,2023-06-01,2026-04-15,1,3,sim,sim
CIELE DIAS DE MIRANDA MARINS,CIELE DIAS DE MIRANDA MARINS,1,0,1,0,2023-01-19,2023-01-19,1,0,nao,nao
CILENE ALVES DE OLIVEIRA,CILENE ALVES DE OLIVEIRA,1,1,0,0,2025-07-22,2025-07-22,0,0,nao,nao
CILENE BRAGANCA DE MORAES,CILENE BRAGANÇA DE MORAES,1,0,1,0,2022-01-17,2022-01-17,1,0,nao,nao
CILIANA BAPTISTA BARBOSA,CILIANA BAPTISTA BARBOSA,2,1,1,0,2021-07-07,2022-10-28,1,1,sim,nao
CIMARA REVEA LEITE GONCALVES,CIMARA REVEA LEITE GONÇALVES,1,0,1,0,2021-01-11,2021-01-11,1,0,nao,nao
CINDY CRYSTI FERNANDES DE SENA,CINDY CRYSTI FERNANDES DE SENA,2,1,1,1,2020-11-17,2020-11-17,1,2,sim,sim
CINTHIA AVELLAR MARTINS,CINTHIA AVELLAR MARTINS,3,2,1,2,2023-03-01,2023-09-15,2,2,sim,sim
CINTHIA BASTOS FARIAS DO NASCIMENTO,CINTHIA BASTOS FARIAS DO NASCIMENTO,1,1,0,0,2025-09-30,2025-09-30,1,1,nao,nao
CINTHIA MARTINS GONCALVES,CINTHIA MARTINS GONÇALVES,5,3,2,2,2022-08-23,2026-04-15,2,3,sim,sim
CINTHIA PERES CASTRO DE SOUZA,CINTHIA PERES CASTRO DE SOUZA,4,3,1,2,2021-02-19,2026-02-12,2,1,sim,sim
CINTHIA PITZ PIMENTA PINHEIRO,CINTHIA PITZ PIMENTA PINHEIRO,4,1,3,1,2021-07-27,2026-03-24,3,2,sim,sim
CINTHIA SANTOS OLIVEIRA DE ARAUJO,CINTHIA SANTOS OLIVEIRA DE ARAÚJO,1,1,0,0,2025-03-12,2025-03-12,0,1,nao,nao
CINTIA ALVES DE LIMA,CÍNTIA ALVES DE LIMA,1,1,0,0,2025-02-03,2025-02-03,0,0,nao,nao
CINTIA AMANDA FERREIRA SILVA,CINTIA AMANDA FERREIRA SILVA,1,1,0,0,2024-10-24,2024-10-24,1,1,nao,nao
CINTIA COELHO GORNI,CINTIA COELHO GORNI,1,0,1,0,2024-08-22,2024-08-22,1,0,nao,nao
CINTIA CRISTINA ALIPIO,CINTIA CRISTINA ALÍPIO,1,1,0,0,2021-07-21,2021-07-21,1,0,nao,nao
CINTIA CRISTINA CORDEIRO,CÍNTIA CRISTINA CORDEIRO,1,1,0,0,2023-06-23,2023-06-23,1,1,nao,nao
CINTIA CRISTINA DA COSTA GERALDO,CINTIA CRISTINA DA COSTA GERALDO,1,0,1,0,2026-04-17,2026-04-17,1,0,nao,nao
CINTIA DE ALMEIDA SEVERINO,CINTIA DE ALMEIDA SEVERINO,1,0,1,0,2021-01-08,2021-01-08,1,0,nao,nao
CINTIA DE LIMA PAIVA,CINTIA DE LIMA PAIVA,1,1,0,0,2026-03-25,2026-03-25,1,1,nao,nao
CINTIA DE OLIVEIRA SIQUEIRA,CINTIA DE OLIVEIRA SIQUEIRA,1,0,1,0,2023-03-14,2023-03-14,1,1,nao,nao
CINTIA DE SOUZA CAMPOS,CINTIA DE SOUZA CAMPOS,3,2,1,1,2020-12-08,2024-04-15,3,2,sim,sim
CINTIA DE SOUZA LOPES,CINTIA DE SOUZA LOPES,2,1,1,0,2022-01-06,2023-12-20,2,1,sim,nao
CINTIA DENISE SOARES,CINTIA DENISE SOARES,1,1,0,0,2022-07-01,2022-07-01,1,0,nao,nao
CINTIA GASPERI MOREIRA,CINTIA GASPERI MOREIRA,1,1,0,0,2023-02-07,2023-02-07,0,0,nao,nao
CINTIA LINS FURTADO BORGES,CINTIA LINS FURTADO BORGES,2,1,1,0,2023-04-19,2025-05-06,2,1,sim,nao
CINTIA MARQUES,CINTIA MARQUES,2,1,1,0,2020-11-27,2021-01-07,1,1,sim,nao
CINTIA MARQUES DA SILVA,CINTIA MARQUES DA SILVA,1,1,0,0,2020-11-13,2020-11-13,0,1,nao,nao
CINTIA OLIVEIRA MENDES,CINTIA OLIVEIRA MENDES,2,1,1,1,2021-01-15,2025-03-25,2,2,sim,sim
CINTIA PIRES JORGE,CINTIA PIRES JORGE,1,0,1,0,2020-12-01,2020-12-01,1,1,nao,nao
CINTIA RANGEL MOREIRA,CINTIA RANGEL MOREIRA,4,2,2,2,2023-05-11,2024-01-10,2,0,sim,sim
CINTIA SILVA PALHARES,CINTIA SILVA PALHARES,1,0,1,0,2023-09-12,2023-09-12,1,1,nao,nao
CINTYA LIA ANEAS CARNEVALE JACINTHO,CINTYA LIA ANEAS CARNEVALE JACINTHO,2,0,2,0,2021-09-30,2021-11-18,1,2,nao,nao
CIRLEI BATISTA DE OLIVEIRA,CIRLEI BATISTA DE OLIVEIRA,3,1,2,1,2024-04-04,2024-08-08,2,0,sim,sim
CIRLEI RAMOS MADEIRA,CIRLEI RAMOS MADEIRA,1,0,1,0,2021-03-30,2021-03-30,1,1,nao,nao
CIRLEIA VITORINO GOMES PEREIRA,CIRLÉIA VITORINO GOMES PEREIRA,2,1,1,0,2024-05-10,2025-04-07,2,2,sim,nao
CIRLENE DA SILVA FERNANDES,CIRLENE DA SILVA FERNANDES,3,1,2,1,2023-04-12,2026-03-02,1,2,sim,sim
CIRLENE MARIA ALVES DE LIMA,CIRLENE MARIA ALVES DE LIMA,1,0,1,0,2023-08-04,2023-08-04,1,1,nao,nao
CIRLEY MACHADO DOS SANTOS,CIRLEY MACHADO DOS SANTOS,1,1,0,0,2025-12-09,2025-12-09,1,1,nao,nao
CIRLEY MAGALHAES PAULO,CIRLEY MAGALHÃES PAULO,1,1,0,0,2025-06-11,2025-06-11,1,1,nao,nao
CIRO GUIMARAES TORRES,CIRO GUIMARÃES TORRES,1,1,0,0,2022-04-12,2022-04-12,0,0,nao,nao
CIRO PEREIRA DA SILVA,CIRO PEREIRA DA SILVA,1,0,1,0,2023-02-15,2023-02-15,1,1,nao,nao
CISCO CANINDE DA COSTA RAIMUNDO,CISCO CANINDÉ DA COSTA RAIMUNDO,1,0,1,0,2024-04-05,2024-04-05,0,0,nao,nao
CLAILTON VIANA DOS SANTOS,CLAILTON VIANA DOS SANTOS,1,1,0,0,2022-03-17,2022-03-17,0,1,nao,nao
CLARA CALDAS SOARES,CLARA CALDAS SOARES,1,1,0,0,2022-06-20,2022-06-20,1,1,nao,nao
CLARA CALDAS SOARES DA SILVA,CLARA CALDAS SOARES DA SILVA,1,0,1,0,2022-09-12,2022-09-12,1,1,nao,nao
CLARA DE ALBUQUERQUE DUARTE,CLARA DE ALBUQUERQUE DUARTE,1,1,0,0,2026-03-17,2026-03-17,1,0,nao,nao
CLARA DUARTE SILVESTRE CAVALCANTI LIMA,CLARA DUARTE SILVESTRE CAVALCANTI LIMA,6,3,3,3,2022-02-24,2025-02-07,4,1,sim,sim
CLARA FURTADO FERREIRA,CLARA FURTADO FERREIRA,1,0,1,0,2026-03-12,2026-03-12,1,1,nao,nao
CLARA HAIMENIS GOLDEMBERG,CLARA HAIMENIS GOLDEMBERG,1,0,1,0,2023-02-08,2023-02-08,1,0,nao,nao
CLARA LEAL,CLARA LEAL,2,1,1,0,2022-03-09,2023-02-06,2,0,sim,nao
CLARA MACHADO BARBOSA,CLARA MACHADO BARBOSA,3,2,1,1,2021-05-24,2024-04-18,2,0,sim,sim
CLARA MARIA FARIAS DE ARAUJO,CLARA MARIA FARIAS DE ARAÚJO,4,2,2,2,2021-03-02,2025-09-01,2,1,sim,sim
CLARA MARIA NOGUEIRA LUGON,CLARA MARIA NOGUEIRA LUGON,2,1,1,0,2025-11-17,2026-03-16,2,1,sim,nao
CLARA MARIA PAULINO CAO,CLARA MARIA PAULINO CÁO,2,1,1,1,2021-01-28,2021-01-29,1,2,sim,sim
CLARA MENEZES DOS SANTOS,CLARA MENEZES DOS SANTOS,1,1,0,0,2025-05-13,2025-05-13,0,1,nao,nao
CLARA VILLAR RIBEIRO,CLARA VILLAR RIBEIRO,1,0,1,0,2024-03-15,2024-03-15,1,1,nao,nao
CLARA VIRGINIA LIRA FERREIRA,CLARA VIRGÍNIA LIRA FERREIRA,2,1,1,0,2022-05-17,2023-03-13,1,0,sim,nao
CLARENCE WILLYANS SILVESTRE DE JESUS FIGUEIRA,CLARENCE WILLYANS SILVESTRE DE JESUS FIGUEIRA,1,0,1,0,2023-08-31,2023-08-31,1,1,nao,nao
CLARIANA PEREIRA DANTAS DE ABREU,CLARIANA PEREIRA DANTAS DE ABREU,3,1,2,1,2023-01-12,2023-05-05,1,1,sim,sim
CLARICE FIGUEIRO LAENDER,CLARICE FIGUEIRO LAENDER,1,0,1,0,2023-12-04,2023-12-04,0,0,nao,nao
CLARICE PINTO BARBOSA,CLARICE PINTO BARBOSA,6,3,3,2,2023-02-08,2025-09-23,6,2,sim,sim
CLARICE REZENDE HIPPERTT,CLARICE REZENDE HIPPERTT,1,0,1,0,2021-06-08,2021-06-08,1,1,nao,nao
CLARICE SILVA DE OLIVEIRA,CLARICE SILVA DE OLIVEIRA,1,0,1,0,2021-08-25,2021-08-25,1,0,nao,nao
CLARICE UCHOA SIMOES,CLARICE UCHOA SIMÕES,1,1,0,0,2025-02-03,2025-02-03,0,1,nao,nao
CLARISSA DO NASCIMENTO MARTINS,CLARISSA DO NASCIMENTO MARTINS,1,0,1,0,2022-05-18,2022-05-18,1,1,nao,nao
CLARISSA FERREIRA DE SOUZA,CLARISSA FERREIRA DE SOUZA,7,3,4,3,2022-08-04,2024-09-03,6,3,sim,sim
CLARISSA MOSCHIAR FONTELLES,CLARISSA MOSCHIAR FONTELLES,4,2,2,1,2021-08-12,2024-05-13,3,2,sim,sim
CLARISSA OLIVEIRA DE ARAUJO,CLARISSA OLIVEIRA DE ARAÚJO,1,0,1,0,2020-10-22,2020-10-22,1,1,nao,nao
CLARISSA RAMOS GOMES,CLARISSA RAMOS GOMES,1,0,1,0,2022-09-01,2022-09-01,1,1,nao,nao
CLARISSA RODRIGUES COUTINHO,CLARISSA RODRIGUES COUTINHO,1,1,0,0,2023-10-23,2023-10-23,1,0,nao,nao
CLARISSA SANTOS CORDEIRO,CLARISSA SANTOS CORDEIRO,1,1,0,0,2025-06-05,2025-06-05,1,1,nao,nao
CLARISSA SOUTO MONTEAGUDO,CLARISSA SOUTO MONTEAGUDO,7,4,3,3,2021-01-26,2025-01-28,5,3,sim,sim
CLARISSE CAMILA FARIAS DA SILVA,CLARISSE CAMILA FARIAS DA SILVA,1,1,0,0,2024-06-14,2024-06-14,0,1,nao,nao
CLARISSE FILGUEIRA PIMENTEL,CLARISSE FILGUEIRA PIMENTEL,1,0,1,0,2023-12-20,2023-12-20,1,1,nao,nao
CLARO MARIANO DE LIMA FILHO,CLARO MARIANO DE LIMA FILHO,3,2,1,1,2025-08-11,2026-01-15,3,1,sim,sim
CLARYANNE DE AZEREDO MORAES,CLARYANNE DE AZEREDO MORAES,6,3,3,2,2023-09-28,2026-03-02,2,5,sim,sim
CLARYSSA LIMA OTTONI DA SILVA,CLARYSSA LIMA OTTONI DA SILVA,1,0,1,0,2021-06-09,2021-06-09,1,1,nao,nao
CLAUCIMAR CONCEICAO COSTA,CLAUCIMAR CONCEIÇÃO COSTA,1,1,0,0,2025-02-10,2025-02-10,0,0,nao,nao
CLAUDE DA SILVA CHAVES,CLAUDE DA SILVA CHAVES,2,1,1,0,2026-02-23,2026-03-17,2,0,sim,nao
CLAUDENICE DA SILVA VALIDADE A,CLAUDENICE DA SILVA VALIDADE A,1,1,0,0,2025-10-17,2025-10-17,0,0,nao,nao
CLAUDIA ALENCAR MEIRELLES ROCHA,CLAUDIA ALENCAR MEIRELLES ROCHA,2,1,1,0,2023-04-14,2023-10-19,2,2,sim,nao
CLAUDIA ALESSANDRA TEMPERINI GOMES,CLAUDIA ALESSANDRA TEMPERINI GOMES,2,1,1,1,2024-07-24,2024-07-30,2,0,sim,sim
CLAUDIA ANDRADE DOS SANTOS,CLAUDIA ANDRADE DOS SANTOS,1,1,0,0,2024-12-20,2024-12-20,0,0,nao,nao
CLAUDIA ANDRADE SANTOS,CLAUDIA ANDRADE SANTOS,2,2,0,0,2021-08-10,2021-08-11,1,0,nao,nao
CLAUDIA ANTONIA DA SILVA PAULO,CLAUDIA ANTONIA DA SILVA PAULO,2,1,1,1,2024-11-07,2024-11-07,1,1,sim,sim
CLAUDIA ANTUNES AZEVEDO,CLAUDIA ANTUNES AZEVEDO,2,0,2,0,2020-12-03,2020-12-04,1,1,nao,nao
CLAUDIA ANTUNES SECIN,CLAUDIA ANTUNES SECIN,1,0,1,0,2021-03-23,2021-03-23,1,1,nao,nao
CLAUDIA APARECIDA MARQUES LOURENCO,CLAUDIA APARECIDA MARQUES LOURENÇO,1,0,1,0,2021-01-29,2021-01-29,1,1,nao,nao
CLAUDIA ARAUJO DA SILVA,CLAUDIA ARAUJO DA SILVA,3,2,1,1,2024-04-01,2025-05-16,2,1,sim,sim
CLAUDIA ARGOLO PEREIRA FERIGATO,CLAUDIA ARGOLO PEREIRA FERIGATO,1,1,0,0,2023-05-05,2023-05-05,0,1,nao,nao
CLAUDIA BARRETO DOS SANTOS,CLAUDIA BARRETO DOS SANTOS,2,1,1,0,2021-11-10,2026-01-05,1,1,sim,nao
CLAUDIA BOTELHO SILVA,CLAUDIA BOTELHO SILVA,2,1,1,0,2022-08-04,2023-11-23,1,1,sim,nao
CLAUDIA BRESLER LORETI MARTINS DE OLIVEIRA SOUZA,CLAUDIA BRESLER LORETI MARTINS DE OLIVEIRA SOUZA,2,1,1,0,2022-08-04,2024-04-26,1,0,sim,nao
CLAUDIA CARNAVAL DE OLIVEIRA PINTO,CLAUDIA CARNAVAL DE OLIVEIRA PINTO,1,0,1,0,2023-10-19,2023-10-19,1,0,nao,nao
CLAUDIA CASTRO RODRIGUES,CLAUDIA CASTRO RODRIGUES,1,1,0,0,2022-02-01,2022-02-01,1,0,nao,nao
CLAUDIA CAVADINHA MACHADO,CLAUDIA CAVADINHA MACHADO,1,0,1,0,2020-11-23,2020-11-23,1,1,nao,nao
CLAUDIA CHRISTINA SILVA PEREIRA,CLAUDIA CHRISTINA SILVA PEREIRA,2,1,1,0,2023-12-07,2024-10-25,1,1,sim,nao
CLAUDIA COELHO BONELLI TORTORI,CLAUDIA COELHO BONELLI TORTORI,1,1,0,0,2024-02-23,2024-02-23,1,1,nao,nao
CLAUDIA CORREA MOTTA,CLAUDIA CORREA MOTTA,2,1,1,0,2021-09-29,2022-05-11,2,2,sim,nao
CLAUDIA COUTO MELLO,CLAUDIA COUTO MELLO,1,0,1,0,2025-10-07,2025-10-07,1,0,nao,nao
CLAUDIA CRISTINA DOS SANTOS CORREA DE AZEVEDO,CLAUDIA CRISTINA DOS SANTOS CORREA DE AZEVEDO,2,1,1,1,2025-09-26,2025-09-26,2,2,sim,sim
CLAUDIA CRISTINA LOPES LAPA ROCHA,CLAUDIA CRISTINA LOPES LAPA ROCHA,2,1,1,0,2025-08-04,2025-11-03,2,2,sim,nao
CLAUDIA CRISTINA PRAXEDES DE FARIAS,CLAUDIA CRISTINA PRAXEDES DE FARIAS,1,0,1,0,2022-06-21,2022-06-21,1,0,nao,nao
CLAUDIA DA COSTA PAULO GOMES,CLÁUDIA DA COSTA PAULO GOMES,2,2,0,0,2025-11-03,2026-04-14,1,0,nao,nao
CLAUDIA DA COSTA PEREIRA FERREIRA,CLAUDIA DA COSTA PEREIRA FERREIRA,3,2,1,2,2021-08-06,2026-03-03,1,0,sim,sim
CLAUDIA DA COSTA RAMOS JANIQUES,CLAUDIA DA COSTA RAMOS JANIQUES,3,1,2,1,2022-01-17,2024-12-04,2,1,sim,sim
CLAUDIA DA SILVA,CLÁUDIA DA SILVA,1,0,1,0,2023-04-12,2023-04-12,1,1,nao,nao
CLAUDIA DA SILVA BERMOND,CLÁUDIA DA SILVA BERMOND,2,1,1,0,2026-01-22,2026-04-16,1,0,sim,nao
CLAUDIA DA SILVA CRUZ DE CARVALHO,CLAUDIA DA SILVA CRUZ DE CARVALHO,2,1,1,0,2024-03-20,2025-02-21,1,0,sim,nao
CLAUDIA DA SILVA LUNARDI,CLAUDIA DA SILVA LUNARDI,2,1,1,0,2021-02-25,2021-06-01,1,1,sim,nao
CLAUDIA DE ALCANTARA CHAVES,CLAUDIA DE ALCANTARA CHAVES,2,1,1,0,2023-01-10,2023-03-09,1,1,sim,nao
CLAUDIA DE ARAUJO SILVA,CLAUDIA DE ARAUJO SILVA,2,1,1,1,2024-02-05,2024-02-16,2,2,sim,sim
CLAUDIA DE FARIAS BRAGA DE ABREU,CLAUDIA DE FARIAS BRAGA DE ABREU,1,1,0,0,2023-03-01,2023-03-01,1,1,nao,nao
CLAUDIA DE JESUS ANTUNES DE SOUZA,CLAUDIA DE JESUS ANTUNES DE SOUZA,3,1,2,1,2021-06-24,2024-04-05,3,2,sim,sim
CLAUDIA DE MELLO GENTIL,CLAUDIA DE MELLO GENTIL,16,9,7,8,2021-02-25,2026-03-13,10,8,sim,sim
CLAUDIA DE OLIVEIRA CABRAL,CLAUDIA DE OLIVEIRA CABRAL,1,0,1,0,2020-12-10,2020-12-10,1,1,nao,nao
CLAUDIA DE SOUZA FERREIRA CHAVES,CLAUDIA DE SOUZA FERREIRA CHAVES,1,1,0,0,2024-03-18,2024-03-18,1,0,nao,nao
CLAUDIA DE SOUZA MACHADO JANUZZI,CLAUDIA DE SOUZA MACHADO JANUZZI,2,1,1,1,2021-11-26,2021-11-26,2,1,sim,sim
CLAUDIA DE SOUZA PESSOA,CLÁUDIA DE SOUZA PESSÔA,1,1,0,0,2021-03-30,2021-03-30,0,0,nao,nao
CLAUDIA DIAS SOARES,CLAUDIA DIAS SOARES,4,3,1,0,2021-11-10,2022-06-21,1,0,sim,nao
CLAUDIA DOMINGOS TORRES,CLÁUDIA DOMINGOS TORRES,2,1,1,0,2024-10-29,2025-03-10,2,2,sim,nao
CLAUDIA DORIAN DE OLIVEIRA,CLÁUDIA DORIAN DE OLIVEIRA,1,1,0,0,2021-04-14,2021-04-14,1,0,nao,nao
